trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
719,False,"{'a': 0.3, 'e': 0.0007540891204935333}",20,10,17.903958325856053,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
720,False,"{'a': 0.3, 'e': 0.0007465858083766792}",25,20,9.174542338935431,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.3, 'e': 0.0007391571554628196}",25,11,25.51261270320157,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.3, 'e': 0.0007318024188804728}",20,15,10.871861239953718,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.3, 'e': 0.0007245208631498506}",30,9,33.28826974306918,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
724,False,"{'a': 0.3, 'e': 0.0007173117601093135}",20,9,20.791977423352698,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.3, 'e': 0.000710174388842549}",25,13,23.01532514425748,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.3, 'e': 0.0007031080356064829}",20,15,10.361446772617173,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
727,False,"{'a': 0.3, 'e': 0.0006961119937599021}",25,5,33.807056464285296,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.3, 'e': 0.0006891855636927931}",20,12,15.59946393523676,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.3, 'e': 0.0006823280527563766}",20,10,18.247543918829653,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,False,"{'a': 0.3, 'e': 0.0006755387751938444}",20,6,24.279659972220816,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.3, 'e': 0.0006688170520717817}",25,18,10.26245442383902,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.3, 'e': 0.0006621622112122764}",25,16,18.81701757412255,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.3, 'e': 0.0006555735871256958}",20,0,28.97735106899989,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.3, 'e': 0.0006490505209441411}",25,10,26.857212751090984,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.3, 'e': 0.0006425923603555573}",20,16,9.37188864128001,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.3, 'e': 0.0006361984595385052}",20,3,32.24321271468869,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
