trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.7, 'e': 0.6570468198150567}",25,0,-58.15893178653531,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
43,False,"{'a': 0.7, 'e': 0.6505090947233165}",20,0,-34.63322706618662,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
44,False,"{'a': 0.7, 'e': 0.6440364210831414}",25,0,-110.35958395019738,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.7, 'e': 0.6376281516217733}",20,0,-139.1887265981079,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
46,False,"{'a': 0.7, 'e': 0.631283645506926}",25,0,-90.30171000394468,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.7, 'e': 0.6250022682827008}",20,7,-39.49369341134994,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
48,False,"{'a': 0.7, 'e': 0.6187833918061408}",30,0,-42.51288376269089,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.7, 'e': 0.6126263941844161}",30,12,-48.08626490415816,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
50,False,"{'a': 0.7, 'e': 0.6065306597126334}",25,0,-133.85565934733845,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
51,False,"{'a': 0.7, 'e': 0.6004955788122659}",20,0,-148.94058198646073,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
52,False,"{'a': 0.7, 'e': 0.5945205479701944}",30,0,-143.02902197427395,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
53,False,"{'a': 0.7, 'e': 0.5886049696783552}",35,3,-159.32240641843353,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 3}",1
54,False,"{'a': 0.7, 'e': 0.5827482523739896}",30,0,-102.71586212365179,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
55,False,"{'a': 0.7, 'e': 0.5769498103804866}",25,16,5.28473744736848,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.5712090638488149}",30,1,-7.138281652786874,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.5655254386995371}",25,0,-60.43761420165977,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.7, 'e': 0.559898366565402}",25,0,-72.49551752314726,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 2}",0
59,False,"{'a': 0.7, 'e': 0.5543272847345071}",25,4,-29.496711789618033,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.5488116360940265}",20,0,6.48262319624672,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.7, 'e': 0.5433508690744998}",20,5,-10.26411560619511,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.5379444375946745}",20,6,-21.355639176914657,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.5325918010068972}",20,8,7.656939562900498,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.5272924240430485}",20,0,-34.09048101393229,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.7, 'e': 0.522045776761016}",20,0,-42.04472706209855,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.7, 'e': 0.5168513344916992}",25,0,-52.04049057634045,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
67,False,"{'a': 0.7, 'e': 0.5117085777865424}",25,0,-83.17954122917031,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
68,False,"{'a': 0.7, 'e': 0.5066169923655895}",20,0,-24.936794654192056,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
69,False,"{'a': 0.7, 'e': 0.5015760690660555}",20,12,-24.10039583860647,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.49658530379140947}",20,0,-106.0697987592035,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
71,False,"{'a': 0.7, 'e': 0.4916441974609651}",30,0,-119.80891022792406,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
72,False,"{'a': 0.7, 'e': 0.4867522559599717}",20,0,-2.5101882742901576,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.7, 'e': 0.48190899009020244}",25,10,25.153157838207253,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.4771139155210344}",20,0,-42.74551321569858,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
75,False,"{'a': 0.7, 'e': 0.4723665527410147}",30,0,-95.76705401969053,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
76,False,"{'a': 0.7, 'e': 0.46766642700990924}",20,0,-27.071095884961576,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
77,False,"{'a': 0.7, 'e': 0.46301306831122807}",25,0,-92.76391476780141,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
78,False,"{'a': 0.7, 'e': 0.4584060113052235}",25,16,-44.52008482977666,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.7, 'e': 0.45384479528235583}",25,0,-12.262266013382,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.7, 'e': 0.44932896411722156}",25,0,-61.72020136680275,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
81,False,"{'a': 0.7, 'e': 0.4448580662229411}",20,0,4.490752499973895,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.7, 'e': 0.44043165450599925}",20,0,14.990569173902717,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.7, 'e': 0.43604928632153556}",30,20,10.164716617080968,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.7, 'e': 0.43171052342907973}",20,2,-33.905821880555756,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
85,False,"{'a': 0.7, 'e': 0.4274149319487267}",25,0,-67.37834238403258,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
86,False,"{'a': 0.7, 'e': 0.4231620823177488}",20,0,-71.50794531404549,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
87,False,"{'a': 0.7, 'e': 0.418951549247639}",25,0,-5.134761328034435,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
88,False,"{'a': 0.7, 'e': 0.4147829116815814}",25,0,-52.45000779956426,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
89,False,"{'a': 0.7, 'e': 0.4106557527523455}",20,0,-39.13118791623485,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
90,False,"{'a': 0.7, 'e': 0.4065696597405991}",25,10,6.862210787588552,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
91,False,"{'a': 0.7, 'e': 0.40252422403363597}",25,1,-31.88675764408865,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.7, 'e': 0.39851904108451414}",20,3,21.98552319978029,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 0.3945537103716011}",25,0,15.343780586858852,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
