trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.9, 'e': 0.6570468198150567}",20,0,-127.91403243482675,"{0: 9, 1: 1, 2: 7, 3: 3, 4: 0}",0
43,False,"{'a': 0.9, 'e': 0.6505090947233165}",20,7,-80.76053421712884,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 1}",1
44,False,"{'a': 0.9, 'e': 0.6440364210831414}",25,0,-19.5816338217414,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.9, 'e': 0.6376281516217733}",20,11,-9.276828149440902,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.9, 'e': 0.631283645506926}",25,0,-129.65081854348531,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",1
47,False,"{'a': 0.9, 'e': 0.6250022682827008}",20,0,-22.75719722212754,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
48,False,"{'a': 0.9, 'e': 0.6187833918061408}",30,9,-92.97703789939771,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 1}",1
49,False,"{'a': 0.9, 'e': 0.6126263941844161}",20,0,-85.65448578933172,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.9, 'e': 0.6065306597126334}",25,0,-46.06559733219228,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.9, 'e': 0.6004955788122659}",20,0,-13.751174124217181,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
52,False,"{'a': 0.9, 'e': 0.5945205479701944}",25,2,-40.92457172213496,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
53,False,"{'a': 0.9, 'e': 0.5886049696783552}",25,2,-15.427065483701794,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
54,False,"{'a': 0.9, 'e': 0.5827482523739896}",25,2,-38.95368071693395,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
55,False,"{'a': 0.9, 'e': 0.5769498103804866}",25,0,-72.10487144310285,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.9, 'e': 0.5712090638488149}",20,4,-19.4750655838239,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.9, 'e': 0.5655254386995371}",25,0,-60.10792667611317,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.9, 'e': 0.559898366565402}",25,5,-15.082714209647282,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
59,False,"{'a': 0.9, 'e': 0.5543272847345071}",20,0,-44.52768764632104,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.9, 'e': 0.5488116360940265}",25,0,-43.09012133254039,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.9, 'e': 0.5433508690744998}",20,10,-2.3516911139250443,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.9, 'e': 0.5379444375946745}",20,0,-126.02584689323501,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
63,False,"{'a': 0.9, 'e': 0.5325918010068972}",25,1,-88.51822978364194,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 1}",1
64,False,"{'a': 0.9, 'e': 0.5272924240430485}",20,0,-115.66775401957777,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
65,False,"{'a': 0.9, 'e': 0.522045776761016}",20,0,-53.89848255904978,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
66,False,"{'a': 0.9, 'e': 0.5168513344916992}",20,0,-60.52816950137878,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.9, 'e': 0.5117085777865424}",20,0,-83.03506419991906,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
68,False,"{'a': 0.9, 'e': 0.5066169923655895}",25,17,-0.030189227745560654,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.9, 'e': 0.5015760690660555}",25,0,-15.182410039229222,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
70,False,"{'a': 0.9, 'e': 0.49658530379140947}",20,6,-40.907232036401076,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
71,False,"{'a': 0.9, 'e': 0.4916441974609651}",20,15,2.299402540006197,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.9, 'e': 0.4867522559599717}",25,15,5.876999444815669,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.9, 'e': 0.48190899009020244}",20,0,-100.13945957112895,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
74,False,"{'a': 0.9, 'e': 0.4771139155210344}",25,0,-16.503638666130023,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
75,False,"{'a': 0.9, 'e': 0.4723665527410147}",25,0,-50.4525789396371,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
76,False,"{'a': 0.9, 'e': 0.46766642700990924}",20,0,-12.78266654037847,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
77,False,"{'a': 0.9, 'e': 0.46301306831122807}",20,0,22.496090721635028,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.9, 'e': 0.4584060113052235}",20,0,-79.29827478429287,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
79,False,"{'a': 0.9, 'e': 0.45384479528235583}",30,0,-57.720658752547294,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
80,False,"{'a': 0.9, 'e': 0.44932896411722156}",20,0,-40.895169638002145,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
81,False,"{'a': 0.9, 'e': 0.4448580662229411}",20,2,0.4718433561162989,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.9, 'e': 0.44043165450599925}",30,0,-114.88813548818426,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 3}",1
83,False,"{'a': 0.9, 'e': 0.43604928632153556}",20,7,-50.97019550138794,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
84,False,"{'a': 0.9, 'e': 0.43171052342907973}",25,0,-15.173422839015169,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
85,False,"{'a': 0.9, 'e': 0.4274149319487267}",25,0,-73.08046381884313,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
86,False,"{'a': 0.9, 'e': 0.4231620823177488}",20,0,-22.60761583837995,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
87,False,"{'a': 0.9, 'e': 0.418951549247639}",20,7,15.209958529482794,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.9, 'e': 0.4147829116815814}",25,17,3.8071351681273757,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.9, 'e': 0.4106557527523455}",25,13,3.9555308140440912,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.9, 'e': 0.4065696597405991}",25,0,-18.71586953452527,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
91,False,"{'a': 0.9, 'e': 0.40252422403363597}",25,13,15.626742868246986,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.9, 'e': 0.39851904108451414}",25,0,-144.9005811810964,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",1
93,False,"{'a': 0.9, 'e': 0.3945537103716011}",20,5,-149.83149308530676,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 4}",1
94,False,"{'a': 0.9, 'e': 0.3906278353585211}",25,18,10.102761319521784,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.9, 'e': 0.3867410234545012}",30,13,0.923770166006018,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.9, 'e': 0.38289288597511206}",35,22,-54.88764355424961,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
97,False,"{'a': 0.9, 'e': 0.37908303810339883}",20,16,6.465738010422568,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.9, 'e': 0.37531109885139957}",20,0,-51.617419989076765,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
99,False,"{'a': 0.9, 'e': 0.3715766910220457}",20,6,-10.554840737566904,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
100,False,"{'a': 0.9, 'e': 0.36787944117144233}",20,10,10.000480917079381,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.9, 'e': 0.3642189795715233}",30,6,-67.92984863283078,"{0: 20, 1: 0, 2: 0, 3: 3, 4: 1}",1
102,False,"{'a': 0.9, 'e': 0.3605949401730783}",30,8,-44.62773101502594,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",1
103,False,"{'a': 0.9, 'e': 0.3570069605691474}",20,0,-27.924643229537182,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
104,False,"{'a': 0.9, 'e': 0.35345468195878016}",20,0,-0.846042744498086,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.9, 'e': 0.3499377491111553}",20,7,7.0404801173731855,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.9, 'e': 0.3464558103300574}",25,0,23.89043037006029,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
107,False,"{'a': 0.9, 'e': 0.34300851741870664}",20,0,-6.53012084409412,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
108,False,"{'a': 0.9, 'e': 0.3395955256449391}",30,8,-60.65955777330608,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
109,False,"{'a': 0.9, 'e': 0.33621649370673334}",20,0,-27.721119928635837,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
110,False,"{'a': 0.9, 'e': 0.33287108369807955}",20,9,-12.228168358353058,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
111,False,"{'a': 0.9, 'e': 0.32955896107518906}",30,0,-36.20235912105696,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
112,False,"{'a': 0.9, 'e': 0.32627979462303947}",25,3,-23.516339341592133,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
113,False,"{'a': 0.9, 'e': 0.3230332564222529}",20,0,-8.756495633115206,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
114,False,"{'a': 0.9, 'e': 0.31981902181630384}",25,8,29.52417574930081,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.9, 'e': 0.31663676937905316}",20,1,18.36742623926185,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.9, 'e': 0.3134861808826053}",35,0,-13.709467876159176,"{0: 29, 1: 3, 2: 2, 3: 1, 4: 0}",0
117,False,"{'a': 0.9, 'e': 0.31036694126548503}",25,0,-81.0319010024905,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
118,False,"{'a': 0.9, 'e': 0.30727873860113125}",30,9,-76.97362646483911,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 2}",1
119,False,"{'a': 0.9, 'e': 0.3042212640667041}",30,2,-18.23452944130123,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 0}",1
120,False,"{'a': 0.9, 'e': 0.30119421191220214}",30,0,33.1130943915046,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.9, 'e': 0.2981972794298874}",25,0,-15.618518765261298,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
122,False,"{'a': 0.9, 'e': 0.2952301669240142}",25,0,-93.88244384034216,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",1
123,False,"{'a': 0.9, 'e': 0.2922925776808594}",25,9,-23.978597855885475,"{0: 13, 1: 1, 2: 0, 3: 2, 4: 0}",1
124,False,"{'a': 0.9, 'e': 0.2893842179390506}",20,0,13.061520605675902,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
125,False,"{'a': 0.9, 'e': 0.2865047968601901}",30,16,13.845402087883679,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.9, 'e': 0.2836540264997704}",30,15,-7.318192592715967,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
127,False,"{'a': 0.9, 'e': 0.2808316217783798}",25,14,17.98357446644421,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.9, 'e': 0.27803730045319414}",25,0,5.595344593234911,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
129,False,"{'a': 0.9, 'e': 0.27527078308975234}",20,9,8.703042126083044,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.9, 'e': 0.2725317930340126}",25,2,-41.70900524259451,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 1}",1
131,False,"{'a': 0.9, 'e': 0.2698200563846868}",20,13,11.720733445963827,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.9, 'e': 0.26713530196585034}",20,0,12.132113696868283,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
133,False,"{'a': 0.9, 'e': 0.26447726129982396}",20,9,12.614319043243805,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.9, 'e': 0.261845668580326}",25,16,16.705018407513872,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.9, 'e': 0.2592402606458915}",20,0,-18.46989502981112,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
136,False,"{'a': 0.9, 'e': 0.2566607769535559}",25,0,-24.934314382305555,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
137,False,"{'a': 0.9, 'e': 0.25410695955280027}",25,2,-45.21743013917758,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
138,False,"{'a': 0.9, 'e': 0.25157855305975646}",30,14,-61.979499049531064,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 2}",1
139,False,"{'a': 0.9, 'e': 0.24907530463166816}",25,0,6.421837621342261,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
140,False,"{'a': 0.9, 'e': 0.24659696394160643}",20,0,-47.259127548822185,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
141,False,"{'a': 0.9, 'e': 0.2441432831534371}",20,6,3.5412041144191626,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.9, 'e': 0.24171401689703645}",25,0,-0.7487237912558629,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
143,False,"{'a': 0.9, 'e': 0.23930892224375455}",20,0,21.95639771044908,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.9, 'e': 0.23692775868212176}",25,2,20.575678027538245,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.9, 'e': 0.23457028809379765}",20,0,-56.46193747195449,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
146,False,"{'a': 0.9, 'e': 0.23223627472975883}",20,0,2.8850261862852107,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
147,False,"{'a': 0.9, 'e': 0.22992548518672384}",20,8,15.69307223312355,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.9, 'e': 0.22763768838381274}",30,0,30.991790385270274,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
149,False,"{'a': 0.9, 'e': 0.22537265553943872}",25,5,-7.227161595833309,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.9, 'e': 0.22313016014842982}",25,0,-37.11148387686218,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
151,False,"{'a': 0.9, 'e': 0.2209099779593782}",20,0,4.137683412851537,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
152,False,"{'a': 0.9, 'e': 0.21871188695221475}",20,6,25.014146460026083,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 0.21653566731600707}",25,12,23.64599249125678,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.9, 'e': 0.21438110142697794}",25,18,11.604609507290087,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.9, 'e': 0.21224797382674304}",20,6,-29.560980973519474,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
156,False,"{'a': 0.9, 'e': 0.21013607120076472}",20,12,3.4016281809399187,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.9, 'e': 0.20804518235702046}",20,0,-56.13680815985945,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
158,False,"{'a': 0.9, 'e': 0.20597509820488344}",20,0,-84.19731376192654,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
159,False,"{'a': 0.9, 'e': 0.20392561173421342}",20,8,-28.421429070790065,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.9, 'e': 0.20189651799465538}",20,14,9.246281342738513,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.9, 'e': 0.1998876140751445}",30,2,40.11048208441217,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.9, 'e': 0.19789869908361465}",20,3,-56.04045875373504,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
163,False,"{'a': 0.9, 'e': 0.19592957412690934}",20,9,7.97628732818916,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.9, 'e': 0.19398004229089189}",20,2,20.31682760023102,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.9, 'e': 0.19204990862075408}",20,11,15.267621040122528,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.9, 'e': 0.1901389801015205}",25,5,32.46476811968822,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.9, 'e': 0.1882470656387468}",25,19,9.363174695280712,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.9, 'e': 0.18637397603940997}",35,15,-31.81621820701659,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
169,False,"{'a': 0.9, 'e': 0.18451952399298926}",20,0,-67.69532409616016,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
170,False,"{'a': 0.9, 'e': 0.18268352405273466}",30,0,37.84505901981723,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.9, 'e': 0.1808657926171221}",20,7,14.643999638189863,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.9, 'e': 0.17906614791149322}",25,0,27.65523071568362,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
173,False,"{'a': 0.9, 'e': 0.17728440996987782}",25,0,12.694808347279123,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
174,False,"{'a': 0.9, 'e': 0.17552040061699686}",25,6,20.50884481901231,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.9, 'e': 0.17377394345044514}",20,9,8.044352700622884,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.9, 'e': 0.17204486382305054}",20,13,-0.08283100930712628,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.9, 'e': 0.17033298882540943}",25,9,27.741317516579542,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.9, 'e': 0.1686381472685955}",20,0,7.0731710957287,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
179,False,"{'a': 0.9, 'e': 0.1669601696670407}",35,11,33.68415507101,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.9, 'e': 0.16529888822158653}",25,0,14.448404572976106,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
181,False,"{'a': 0.9, 'e': 0.16365413680270405}",35,21,21.2660938761017,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.9, 'e': 0.16202575093388075}",30,12,26.833886460331343,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.9, 'e': 0.16041356777517274}",25,8,10.967333171441503,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.9, 'e': 0.15881742610692068}",20,14,10.543914112101962,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
